

95/06/28    20:55:10.0    02:19:00.0
14b6 2959 000a 000d 01a4 0001 000a 001e 0000
9de4 9c3d 9d56 9ce8 9c85 9cb0 9bbb 9bbf 9aa5 9a5b 99f5 7928 a05c 8003 48.1   13.920
20:58:20.0    20
9de3 9c24 9d44 9cb0 9c97 9c73 9b4c 9b2a 99e3 98c1 98c2 7901 a06a 8003 48.1   13.902
20:58:30.0    21
9dc1 9be1 9cdc 9c05 9bd7 9b19 99ca 996f 9815 9667 96b9 781a a078 8003 48.1   13.869
20:58:40.0    22
9d3b 9b47 9bf1 9ac8 9a68 9950 97f1 9757 9605 943d 9495 774c a085 8003 48.1   13.861
20:58:50.0    23
9caf 9a8e 9b08 9968 98b7 9753 95d3 94fb 939f 91ef 9236 7654 a093 8003 48.1   13.914
20:59:00.0    24
9c30 9971 99ad 97ae 96ca 955b 93bc 92d7 9198 8fbe 900f 7552 a0a0 8003 48.1   13.762
20:59:10.0    25
9b53 981b 982e 9608 9518 9366 9183 90b3 8f7b 8dc3 8df5 7459 a0ad 8003 48.1   13.921
20:59:20.0    26
9a4d 968e 9658 9400 9317 914e 8f84 8ecf 8d78 8bc2 8be0 7349 a0b9 8003 48.1   13.879
20:59:30.0    27
98fb 9480 93d8 9132 9054 8ea8 8d13 8c80 8b58 89ec 89e8 72ff a0c6 8003 48.1   13.859
20:59:40.0    28
97f8 92e4 91b6 8eb1 8dab 8bf3 8a7a 8a17 8935 8825 87fa 7218 a0d2 8003 48.1   13.989
20:59:50.0    29
96c5 9132 8f9e 8c55 8b33 897d 8836 87f1 870d 8633 85dd 70f6 a0de 8003 48.1   13.778
21:00:00.0    30
95de 8f8f 8d48 89c9 888f 86cb 85c7 85b2 84f7 847a 83f7 704a a0ea 8003 48.1   13.765
21:00:10.0    31
950e 8de5 8b07 8757 8612 8450 838b 83a7 8318 82fa 8241 6f8c a0f6 8003 48.1   13.858
21:00:20.0    32
9459 8c47 8905 852a 83e6 8230 81aa 81f8 8182 81bb 80d2 6ef3 a101 8003 48.1   13.725
21:00:30.0    33
92dc 8a5c 86f5 8328 8200 805d 801d 80a2 8049 80e2 7fd5 6e44 a10c 8003 48.1   13.855
21:00:40.0    34
911f 884f 8507 8184 809b 7f12 7efd 7faf 7f7c 8079 7f50 6dda a117 8003 48.1   13.694
21:00:50.0    35
8fe1 86a7 839b 8057 7fa8 7e44 7e5d 7f2e 7f23 807a 7f34 6d9a a122 8003 48.1   13.704
21:01:00.0    36
8e9e 8558 827a 7f68 7ede 7d87 7db8 7ea2 7eb4 802c 7ed3 6d51 a12c 8003 48.1   13.803
21:01:10.0    37
8dde 8464 8176 7e61 7ddb 7c8c 7cc5 7dac 7dd8 7f6b 7e06 6cd3 a136 8003 48.1   13.843
21:01:20.0    38
8d2a 83a0 8078 7d55 7cc5 7b87 7bbd 7cac 7d06 7ebb 7d57 6c8c a141 8003 48.1   13.752
21:01:30.0    39
8ccc 8351 800f 7ce3 7c54 7b0e 7b25 7c17 7c6a 7e4d 7cdf 6c2f a14b 8003 48.1   13.774
21:01:40.0    40
8d32 83cc 8067 7d1b 7c6c 7b0d 7afd 7be6 7c1f 7ded 7c96 6c0a a155 8003 48.1   13.784
21:01:50.0    41
8d72 842e 80c0 7d60 7c89 7b0e 7add 7ba3 7bbb 7d5e 7c1c 6b84 a15e 8003 48.1   13.853
21:02:00.0    42
8d73 8461 8120 7dba 7cc3 7b1a 7ad1 7b73 7b67 7cdc 7bb4 6b3d a168 8003 48.1   13.762
21:02:10.0    43
8d8c 8478 8154 7dfc 7ce6 7b37 7acc 7b4f 7b2d 7c73 7b5a 6b9b a171 8003 48.1   13.699
21:02:20.0    44
8d90 8475 8159 7e0c 7d04 7b4f 7ada 7b3b 7afe 7c2e 7b07 6c16 a17a 8003 48.1   13.739
21:02:30.0    45
8dcf 84c9 81aa 7e44 7d47 7b82 7af6 7b52 7afb 7bf1 7ada 6c8f a183 8003 48.1   13.792
21:02:40.0    46
8dfd 8506 81eb 7e6e 7d7d 7bb9 7b18 7b54 7aee 7bb8 7ab5 6cc7 a18c 8003 48.1   13.753
21:02:50.0    47
8e08 8531 8237 7eb4 7db5 7bf0 7b63 7b84 7b14 7b82 7ab5 6cc5 a194 8003 48.1   13.745
21:03:00.0    48
8dd3 84f4 8201 7e68 7d51 7b8d 7b19 7b2e 7aba 7b0d 7a4e 6c83 a19c 8003 48.1   13.707
21:03:10.0    49
8da7 848b 818d 7dfa 7ce2 7b24 7abf 7acf 7a4b 7aa1 79cf 6bf4 a1a5 8003 48.1   13.620
21:03:20.0    50
8dc4 845c 814d 7dd0 7cba 7b10 7aa6 7ab3 7a1b 7a9b 79ab 6b7c a1ad 8003 48.1   13.716
21:03:30.0    51
8e7a 84d9 81b8 7e44 7d30 7b82 7b00 7b0b 7a69 7ae5 79fb 6b52 a1b4 8003 48.1   13.688
21:03:40.0    52
8ef5 8552 8245 7eb6 7d98 7bd7 7b5b 7b61 7ab4 7b1d 7a2f 6b51 a1bc 8003 48.1   13.722
21:03:50.0    53
8f45 8573 826a 7ec7 7da4 7bd6 7b58 7b48 7a8f 7b18 79fe 6b39 a1c3 8003 48.1   13.666
21:04:00.0    54
8f62 8595 8291 7ed7 7dda 7c1b 7b7a 7b47 7a79 7b1e 79f4 6af6 a1cb 8003 48.1   13.752
21:04:10.0    55
